Designator,Mid X,Mid Y,Rotation,Layer
C1,182.25,-47.75,0.0,top
C10,178.75,-40.77,90.0,top
C11,174.25,-40.77,90.0,top
C12,157.9252,-77.8248,180.0,top
C13,156.6752,-76.0748,0.0,top
C14,157.4252,-80.5748,0.0,top
C15,157.4252,-82.3248,0.0,top
C16,169.6752,-84.8248,0.0,top
C17,172.9252,-79.5748,270.0,top
C18,172.9252,-76.0748,270.0,top
C19,172.9252,-72.5748,270.0,top
C2,182.27,-44.25,0.0,top
C20,168.0,-34.25,0.0,top
C21,158.25,-38.75,0.0,top
C22,182.5,-33.0,0.0,top
C23,174.25,-53.25,270.0,top
C24,175.5,-53.25,270.0,top
C3,175.5,-40.75,90.0,top
C4,169.77,-44.0,180.0,top
C5,177.25,-52.5,270.0,top
C6,169.81,-47.5,180.0,top
C7,182.5,-50.0,0.0,top
C8,180.27,-42.0,0.0,top
C9,170.0,-41.5,180.0,top
J1,197.9252,-71.5348,0.0,top
J2,197.9252,-80.3248,0.0,top
J3,176.75,-27.15,180.0,top
J4,159.27,-41.75,90.0,top
J5,168.505,-31.25,270.0,top
J6,184.0,-29.23,180.0,top
J7,166.0,-41.495,0.0,top
J8,150.25,-54.82,0.0,top
J9,205.75,-54.66,180.0,top
R1,176.75,-40.75,270.0,top
R10,188.6752,-63.0748,0.0,top
R11,188.6652,-73.5748,0.0,top
R12,188.6752,-84.0748,0.0,top
R13,169.81,-43.0,0.0,top
R14,169.01,-40.0,180.0,top
R15,177.75,-55.25,90.0,top
R2,177.75,-40.75,270.0,top
R3,159.4252,-70.3248,270.0,top
R4,158.1752,-70.5748,270.0,top
R5,176.9252,-63.0748,0.0,top
R6,176.9252,-73.5748,0.0,top
R7,176.9152,-84.0748,0.0,top
R8,158.1752,-72.0748,0.0,top
R9,170.6752,-69.5748,0.0,top
U1,164.8189,-75.9685,0.0,top
U10,176.5,-35.0,270.0,top
U2,176.125,-46.775,90.0,top
U3,179.7252,-65.5348,270.0,top
U4,179.7252,-76.0348,270.0,top
U5,179.7252,-86.5748,270.0,top
U6,191.4252,-65.4948,270.0,top
U7,191.4252,-76.0748,270.0,top
U8,191.4252,-86.5748,270.0,top
U9,160.5,-34.0,0.0,top
Y1,175.25,-56.75,270.0,top
