Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C2, C22, C3, C4, C5, C6, C8",0402,10,100n,
C12,0402,1,0.022µF,
C13,0805,1,2.2µF,
"C14, C15",0603,2,1µF,
C16,0805,1,4.7µF,
"C17, C18, C19",0603,3,0.1µF,
"C20, C21",0805,2,10u,
"C23, C24",0402,2,15p,
"C7, C9",0603,2,1u,
"J1, J2",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
J3,USB_Micro-AB_Molex_47590-0001,1,USB_B_Micro,
"J4, J5, J6, J7",PinHeader_1x02_P2.54mm_Vertical,4,Conn_01x02_Pin,
"J8, J9",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
"R1, R2",0402,2,27.4,
"R10, R11, R12, R5, R6, R7",0402,6,15,
"R13, R15",0402,2,1k,
R14,0402,1,DNF,
"R3, R4, R9",0402,3,10k,
R8,0402,1,33k,
U1,DCA56_6P35X3P61,1,DRV8301DCAR,
U10,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U2,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
"U3, U4, U5, U6, U7, U8",TO-220-3_Vertical,6,~,
U9,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,Crystal_GND23,
